,_id,单价_2018_07_01,周边价格,地理位置,楼盘名称,网址
1034,5b38d749c3666eb3a7342848,住宅7034元/㎡,无,[ 城北 - 北二环 ] 赛高国际对面（凤城二路与未央路交汇处东南角）,盛世一品,https://xa.fang.anjuke.com/loupan/242524.html
1035,5b38d749c3666eb3a5342834,住宅6300元/㎡,无,[ 城西 - 大兴新区 ] 西斜路与桃园北路路交汇处西南角（西斜路南侧）,华府御城,https://xa.fang.anjuke.com/loupan/242673.html
1036,5b38d749c3666eb3a0342858,住宅15000元/㎡,无,"[ 西咸新区 - 空港新城 ] 崇文路,近兴教大街",西安国际美术城,https://xa.fang.anjuke.com/loupan/415721.html
1037,5b38d749c3666eb3a4342830,6700,无,[ 浐灞 - 浐河 ] 浐灞完全中学与广运潭大道路南300米,中海悦峰,https://xa.fang.anjuke.com/loupan/405876.html
1038,5b38d74ac3666eb3a9342850,待定,10567,[ 城西 - 土门 ] 城西阿房一路东段原三印厂,海伦春天,https://xa.fang.anjuke.com/loupan/249324.html
1039,5b38d74ac3666eb3a2342838,待定,无,[ 浐灞 - 浐河 ] 华清东路与酒十路交汇处东北角（陕汽万寿小区向北200米）,凯森福景美地,https://xa.fang.anjuke.com/loupan/242859.html
1040,5b38d74bc3666eb3a834284c,待定,13348,[ 城东 - 辛家庙 ] 北二环与井东二路交汇口向南50米,安诚御花苑,https://xa.fang.anjuke.com/loupan/242898.html
1041,5b38d74bc3666eb3a3342858,15000,无,[ 经济开发区 - 行政中心 ] 未央路与凤城六路十字东北角,银池广场,https://xa.fang.anjuke.com/loupan/419262.html
1042,5b38d74cc3666eb3a234283c,待定,无,[ 城北 - 大明宫 ] 大明宫国家遗址公园东侧（太元路与景东路交汇处）,华远君城,https://xa.fang.anjuke.com/loupan/242799.html
1043,5b38d74cc3666eb3a8342850,6594,无,[ 长安 - 韦曲 ] 长安路灯具厂十字向西300米（长兴路酒厂旁）,新界（长安）,https://xa.fang.anjuke.com/loupan/242955.html
1044,5b38d74cc3666eb3a6342844,待定,7600,"[ 泾渭 - 泾渭工业园 ] 西高路,近桑军路",西安恒大雅苑,https://xa.fang.anjuke.com/loupan/425393.html
1045,5b38d74dc3666eb3a4342834,待定,10975,[ 西安周边 - 户县 ] 兆丰东路（三球仪向东200米）,金色家园,https://xa.fang.anjuke.com/loupan/423180.html
1046,5b38d74dc3666eb3a1342844,6000,无,[ 城南 - 电子城 ] 雁环路以南（电子正街西50米）,立丰·联盟新城,https://xa.fang.anjuke.com/loupan/246269.html
